Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
SFEB,2412,0,0.00,0,0.00,20.83,2412,0
ZALT,2412,0,0.00,0,0.00,29.75,2412,0
XJUN,2371,0,0.00,0,0.00,38.97,2371,0
DWLD,2333,0,0.00,0,0.00,39.02,2233,100
SVAL,2319,10,50.00,0,0.00,30.57,2319,0
ABFL,2310,0,0.00,0,0.00,66.34,2310,0
CETH,2270,22000,10.32,22000,10.30,10.37,2270,0
BBHY,2248,0,0.00,0,0.00,46.35,2248,0
UX,2246,0,0.00,0,0.00,23.33,2246,0
FEBM,2225,0,0.00,0,0.00,30.16,2225,0
PLTW,2178,700,35.88,1,35.12,35.85,2150,28
POCT,2150,0,0.00,0,0.00,39.48,2150,0
EALT,2103,0,0.00,0,0.00,31.67,2103,0
BMAR,2100,0,0.00,0,0.00,46.53,2100,0
NUDM,2096,0,0.00,0,0.00,32.80,2096,0
BGLD,2089,5,22.00,0,0.00,20.59,2089,0
DHDG,2081,0,0.00,0,0.00,30.42,2081,0
BAUG,2076,0,0.00,0,0.00,43.25,2076,0
MARM,2071,0,0.00,0,0.00,31.44,2071,0
PBP,2059,1,24.00,98,22.48,22.48,2059,0
FJUN,2042,0,0.00,0,0.00,50.98,2042,0
KHPI,2023,0,0.00,0,0.00,24.52,2023,0
FDRV,2020,0,0.00,10,11.46,14.04,2020,0
DUSA,2016,0,0.00,0,0.00,43.50,2016,0
GMOM,2012,0,0.00,0,0.00,28.80,2012,0
TSLP,2009,2,20.25,1,19.25,20.01,2009,0
PTEU,2006,0,0.00,0,0.00,28.20,2006,0
RBUF,2004,0,0.00,0,0.00,25.99,2004,0
GAA,2000,0,0.00,69,28.82,29.08,2000,0
GFEB,1988,0,0.00,0,0.00,37.40,1965,23
XDJL,1958,0,0.00,0,0.00,34.85,1958,0
IBMR,1936,0,0.00,0,0.00,25.01,1936,0
CSM,1935,0,0.00,0,0.00,65.88,1935,0
HSUN,1933,0,0.00,210,31.73,34.70,1933,0
NOVP,1900,0,0.00,0,0.00,27.10,1900,0
OVT,1900,0,0.00,0,0.00,22.31,1900,0
ATMP,1887,0,0.00,0,0.00,30.81,1887,0
NUEM,1866,0,0.00,0,0.00,29.89,1743,123
NUMG,1858,0,0.00,0,0.00,44.82,1858,0
UFEB,1844,0,0.00,0,0.00,32.85,1844,0
FLQL,1809,0,0.00,0,0.00,58.10,1809,0
DJAN,1789,0,0.00,0,0.00,38.50,1789,0
HEEM,1770,0,0.00,50,20.62,28.67,1770,0
QSPT,1765,0,0.00,0,0.00,27.45,1765,0
TMFS,1764,4,40.00,33,33.20,33.84,1764,0
CLSE,1752,10,22.30,0,0.00,22.12,1752,0
ABLD,1730,0,0.00,0,0.00,28.51,1730,0
LQDW,1714,100,26.61,5,26.14,26.24,1714,0
RBLU,1708,85,24.54,200,23.69,24.37,1708,0
BKGI,1703,0,0.00,200,34.20,34.33,1703,0
DDEC,1700,0,0.00,0,0.00,39.82,1700,0
FLIA,1685,0,0.00,0,0.00,20.12,1685,0
MOTI,1676,0,0.00,0,0.00,33.82,1676,0
FDEV,1632,0,0.00,0,0.00,29.71,1532,100
VXZ,1622,2,94.50,14,50.35,51.74,1622,0
XBJL,1587,0,0.00,0,0.00,34.45,1587,0
FHEQ,1583,0,0.00,0,0.00,26.96,1583,0
VFMF,1578,0,0.00,0,0.00,129.53,1578,0
GDEC,1577,0,0.00,0,0.00,33.65,1577,0
UJAN,1563,0,0.00,0,0.00,38.76,1563,0
COIW,1562,0,0.00,700,33.91,34.86,1562,0
MAGA,1558,10,54.10,0,0.00,48.49,1558,0
HCRB,1557,0,0.00,0,0.00,35.06,1557,0
OMFS,1553,0,0.00,0,0.00,38.53,1553,0
DJTU,1549,402,22.64,103,21.69,22.64,1549,0
HYHG,1547,12,65.50,0,0.00,64.96,1547,0
UAUG,1545,0,0.00,0,0.00,35.28,1545,0
JXX,1526,0,0.00,0,0.00,23.50,1526,0
IBHJ,1524,0,0.00,0,0.00,26.29,1524,0
ZJAN,1510,0,0.00,0,0.00,25.66,1510,0
QSIG,1506,0,0.00,0,0.00,48.49,1506,0
TDV,1494,0,0.00,0,0.00,75.14,1494,0
QCJA,1489,0,0.00,0,0.00,19.60,1489,0
FFOG,1468,0,0.00,0,0.00,37.41,1468,0
HSRT,1468,0,0.00,200,38.81,38.97,1468,0
TAIL,1459,0,0.00,0,0.00,11.36,1459,0
BUFF,1455,0,0.00,0,0.00,44.89,1455,0
XDEC,1455,0,0.00,0,0.00,37.37,1455,0
IBMO,1441,0,0.00,0,0.00,25.56,1441,0
FPAS,1420,0,0.00,0,0.00,25.09,1420,0
SEIQ,1420,0,0.00,0,0.00,35.21,1420,0
BUFG,1416,0,0.00,0,0.00,24.29,1416,0
RSST,1410,0,0.00,0,0.00,22.85,1410,0
FCLD,1407,0,0.00,0,0.00,25.95,1407,0
EVLU,1405,0,0.00,0,0.00,26.31,1405,0
DAUG,1402,0,0.00,0,0.00,39.50,1402,0
HYGW,1372,100,32.44,100,30.50,31.61,1372,0
RSBA,1357,0,0.00,0,0.00,20.47,1357,0
EPRF,1350,0,0.00,0,0.00,18.21,1350,0
STOT,1347,0,0.00,0,0.00,47.15,1347,0
QJUN,1339,0,0.00,0,0.00,27.46,1339,0
ETU,1334,500,12.23,400,11.86,12.22,1334,0
MBCC,1315,0,0.00,0,0.00,34.51,1315,0
BEMB,1311,0,0.00,5,49.96,52.53,1311,0
OVM,1296,0,0.00,0,0.00,21.52,1296,0
AAPY,1289,0,0.00,0,0.00,23.54,1289,0
EMTL,1271,64,43.40,0,0.00,43.01,1271,0
BAPR,1255,0,0.00,0,0.00,43.64,1255,0
WEEK,1250,0,0.00,0,0.00,100.03,1250,0
TMAT,1242,0,0.00,0,0.00,19.58,1242,0
GJUN,1212,0,0.00,0,0.00,35.93,1212,0
GSUS,1211,0,0.00,0,0.00,79.35,1211,0
EAOA,1206,0,0.00,2,33.00,36.19,1206,0
KAPR,1195,0,0.00,0,0.00,31.02,1195,0
FPAG,1192,0,0.00,0,0.00,31.17,1192,0
BNOV,1191,0,0.00,0,0.00,39.01,1191,0
NURE,1184,0,0.00,0,0.00,31.14,1184,0
BUFS,1148,0,0.00,0,0.00,20.70,1148,0
BRLN,1145,200,51.80,200,51.60,51.69,1145,0
DOCT,1140,0,0.00,0,0.00,39.00,1140,0
GOCT,1139,0,0.00,0,0.00,34.91,1139,0
XEMD,1139,0,0.00,0,0.00,42.39,1139,0
PIT,1137,0,0.00,0,0.00,50.28,1137,0
FBCV,1124,0,0.00,0,0.00,32.02,1124,0
TJUL,1109,0,0.00,1,28.11,28.19,1109,0
NMAR,1107,0,0.00,0,0.00,26.05,1107,0
IBMN,1104,0,0.00,0,0.00,26.72,1104,0
VCEB,1104,0,0.00,0,0.00,62.76,1104,0
HSBH,1101,0,0.00,0,0.00,65.45,1101,0
JAJL,1101,0,0.00,0,0.00,27.30,1101,0
GHMS,1100,0,0.00,0,0.00,25.95,1100,0
UJUN,1100,0,0.00,0,0.00,33.84,1100,0
DUBS,1091,0,0.00,0,0.00,31.91,1091,0
GOLY,1087,1,29.00,17,24.04,26.64,1087,0
IBMS,1087,0,0.00,0,0.00,25.41,1087,0
QHY,1082,0,0.00,0,0.00,45.64,1082,0
ZFEB,1081,0,0.00,0,0.00,23.76,1081,0
HYXU,1073,0,0.00,0,0.00,49.37,1073,0
EDEN,1066,0,0.00,1,54.56,107.48,666,400
RDFI,1061,0,0.00,0,0.00,23.77,1061,0
JEMA,1045,0,0.00,0,0.00,39.37,1045,0
UOCT,1042,0,0.00,0,0.00,35.14,1042,0
PFEB,1040,0,0.00,0,0.00,36.46,1040,0
BJAN,1026,0,0.00,0,0.00,47.56,1026,0
NJAN,1024,0,0.00,100,43.27,47.64,1024,0
NOCT,1024,0,0.00,0,0.00,51.01,1024,0
YSEP,1020,0,0.00,0,0.00,23.13,1020,0
SHEH,1010,0,0.00,0,0.00,52.96,1010,0
KMAR,1005,0,0.00,0,0.00,25.34,1005,0
KAUG,1000,0,0.00,0,0.00,24.46,1000,0
TYLD,990,0,0.00,0,0.00,25.29,990,0
OVS,979,0,0.00,0,0.00,32.54,979,0
TDVI,979,0,0.00,1,22.39,23.38,979,0
TOLL,967,0,0.00,0,0.00,32.74,967,0
AOCT,963,0,0.00,0,0.00,25.03,963,0
GJUL,962,0,0.00,0,0.00,36.62,962,0
DSEP,954,0,0.00,0,0.00,40.30,954,0
GJAN,953,0,0.00,0,0.00,38.34,953,0
BBRE,949,0,0.00,11,90.28,93.07,949,0
OVF,934,0,0.00,0,0.00,25.70,934,0
ENOR,930,0,0.00,56,21.75,26.27,930,0
SMMV,920,0,0.00,0,0.00,41.47,920,0
MVFD,912,0,0.00,0,0.00,25.80,912,0
IPAV,911,0,0.00,0,0.00,25.29,911,0
BFEB,908,0,0.00,0,0.00,42.40,908,0
LAPR,900,0,0.00,0,0.00,25.09,900,0
DFNL,869,1,40.80,7,39.93,40.05,593,276
JUNM,850,0,0.00,0,0.00,31.81,850,0
IDUB,847,0,0.00,0,0.00,21.45,847,0
TJAN,840,0,0.00,0,0.00,25.52,840,0
ZVOL,833,1011,19.89,1,16.00,17.34,832,1
AMZP,832,0,0.00,1,27.92,28.28,832,0
PDEC,832,0,0.00,0,0.00,38.20,832,0
FDGR,831,0,0.00,0,0.00,13.26,831,0
ITWO,826,0,0.00,0,0.00,37.49,826,0
IVVM,808,0,0.00,0,0.00,30.66,808,0
PSEP,808,0,0.00,0,0.00,39.03,808,0
KJAN,807,0,0.00,0,0.00,36.60,807,0
UAPR,801,0,0.00,0,0.00,30.76,801,0
DJUL,800,0,0.00,0,0.00,41.71,800,0
FMAY,799,0,0.00,0,0.00,47.21,799,0
SEIM,786,0,0.00,0,0.00,37.82,786,0
EZPZ,778,0,0.00,0,0.00,22.15,778,0
PJUN,777,0,0.00,0,0.00,37.66,777,0
BUFT,775,0,0.00,0,0.00,22.77,775,0
NFLP,771,0,0.00,10,35.06,35.84,771,0
BUFY,770,0,0.00,0,0.00,20.11,770,0
FPRO,754,0,0.00,0,0.00,22.69,754,0
QETH,754,10000,20.61,10000,20.57,20.73,754,0
XBOC,752,0,0.00,0,0.00,30.28,752,0
GDMN,745,0,0.00,0,0.00,41.51,745,0
FPFD,742,0,0.00,100,21.41,21.67,742,0
NDOW,734,0,0.00,0,0.00,24.80,734,0
OILK,733,600,43.33,600,42.03,42.51,733,0
RSSY,724,0,0.00,0,0.00,17.93,690,34
NVOH,723,0,0.00,0,0.00,42.00,723,0
AZNH,700,1,46.63,0,0.00,45.85,700,0
XDQQ,697,0,0.00,0,0.00,33.46,697,0
UPSD,689,0,0.00,0,0.00,23.75,689,0
FDEC,686,0,0.00,0,0.00,44.24,686,0
SMAX,684,0,0.00,0,0.00,25.29,684,0
JUCY,678,0,0.00,0,0.00,22.92,678,0
YJUN,675,0,0.00,0,0.00,23.26,675,0
FJUL,674,0,0.00,0,0.00,48.59,674,0
GNOV,673,0,0.00,0,0.00,34.90,673,0
KWT,673,0,0.00,0,0.00,35.69,673,0
GOP,663,494,31.92,1,30.00,31.69,663,0
PMAY,657,0,0.00,0,0.00,36.36,657,0
QUVU,636,0,0.00,0,0.00,25.19,636,0
QLC,635,0,0.00,3,57.88,65.71,635,0
QTOC,632,0,0.00,0,0.00,29.01,632,0
OEUR,626,0,0.00,100,29.61,30.69,626,0
GROZ,621,0,0.00,0,0.00,23.51,621,0
RSBT,621,0,0.00,0,0.00,16.83,621,0
QCOC,606,0,0.00,0,0.00,20.10,606,0
VEGN,601,0,0.00,0,0.00,51.49,601,0
DURA,600,0,0.00,0,0.00,33.85,600,0
PSFJ,590,0,0.00,0,0.00,29.00,590,0
DNOV,578,0,0.00,0,0.00,42.57,578,0
PAPR,578,0,0.00,0,0.00,36.62,578,0
TMFG,568,132,46.05,0,0.00,28.54,568,0
IVRA,557,0,0.00,0,0.00,16.11,557,0
CBOJ,552,12,24.99,0,0.00,24.90,552,0
TMFM,538,10,27.22,0,0.00,25.67,538,0
EFNL,537,0,0.00,0,0.00,38.02,537,0
STHH,531,0,0.00,0,0.00,51.14,531,0
PRNT,521,3,22.00,15,18.50,20.53,521,0
ZECP,521,0,0.00,0,0.00,30.35,521,0
PAUG,519,0,0.00,0,0.00,38.44,519,0
CBXJ,513,0,0.00,0,0.00,24.45,513,0
BINV,508,0,0.00,0,0.00,33.86,508,0
GVAL,506,0,0.00,0,0.00,24.97,506,0
FCTR,500,0,0.00,0,0.00,31.85,500,0
GBXC,500,0,0.00,0,0.00,24.47,500,0
IEDI,500,0,0.00,0,0.00,51.57,500,0
QMNV,500,0,0.00,0,0.00,20.11,500,0
STBF,500,0,0.00,0,0.00,25.27,500,0
XIMR,500,0,0.00,0,0.00,30.91,500,0
GSKH,499,0,0.00,0,0.00,55.43,499,0
BAMB,484,0,0.00,0,0.00,26.03,484,0
DECP,483,0,0.00,0,0.00,26.31,483,0
CNAV,481,0,0.00,0,0.00,24.54,481,0
FFGX,481,0,0.00,0,0.00,26.60,481,0
TSW,481,700,37.85,700,36.29,37.23,481,0
LYLD,478,0,0.00,5,24.01,26.01,478,0
SMAY,471,0,0.00,0,0.00,23.93,471,0
QBER,468,0,0.00,0,0.00,24.66,468,0
JCPI,463,0,0.00,0,0.00,47.79,463,0
URAN,445,2,36.95,1,27.70,28.04,445,0
GMAY,441,0,0.00,0,0.00,37.00,441,0
MSTB,437,0,0.00,0,0.00,33.21,437,0
NAPR,435,0,0.00,0,0.00,49.98,435,0
MDLV,430,0,0.00,0,0.00,27.10,430,0
DINT,417,0,0.00,0,0.00,23.83,317,100
ISVL,415,0,0.00,0,0.00,38.08,415,0
EFAD,411,0,0.00,0,0.00,39.46,411,0
IBMQ,410,0,0.00,0,0.00,25.26,410,0
GSEE,409,0,0.00,0,0.00,46.05,409,0
XDAP,402,0,0.00,0,0.00,36.47,402,0
XISE,401,0,0.00,0,0.00,30.25,401,0
ZMAR,401,0,0.00,0,0.00,25.89,401,0
FFDI,400,0,0.00,0,0.00,27.42,400,0
OGIG,400,0,0.00,0,0.00,47.16,400,0
QDEC,381,0,0.00,0,0.00,27.15,381,0
LIMI,380,0,0.00,0,0.00,24.50,380,0
XUSP,371,0,0.00,0,0.00,38.72,371,0
ZDEK,364,0,0.00,0,0.00,23.86,364,0
XIJN,362,0,0.00,0,0.00,30.74,362,0
BUYZ,360,0,0.00,0,0.00,36.40,360,0
MFUL,360,0,0.00,0,0.00,21.66,360,0
AAPR,359,0,0.00,0,0.00,26.41,359,0
PEX,359,0,0.00,0,0.00,28.16,359,0
RULE,353,0,0.00,0,0.00,21.03,353,0
BDEC,352,0,0.00,0,0.00,42.67,252,100
FAPR,348,0,0.00,0,0.00,41.82,348,0
GLOV,347,0,0.00,0,0.00,51.83,347,0
SELV,331,0,0.00,0,0.00,30.30,331,0
BJUL,326,0,0.00,0,0.00,44.18,326,0
PSFF,320,0,0.00,0,0.00,29.08,320,0
GHTA,314,2,57.08,0,0.00,30.02,314,0
XJR,312,0,0.00,0,0.00,38.61,312,0
VAMO,309,0,0.00,0,0.00,29.28,309,0
MYLD,308,0,0.00,0,0.00,23.00,308,0
WEED,307,0,0.00,0,0.00,10.93,307,0
ZJUL,307,0,0.00,0,0.00,27.09,307,0
BAMD,303,0,0.00,0,0.00,31.77,303,0
OVB,300,0,0.00,0,0.00,20.67,300,0
SHDG,300,0,0.00,0,0.00,28.60,300,0
TFJL,300,0,0.00,0,0.00,20.47,300,0
TSEP,300,0,0.00,0,0.00,20.56,300,0
TUSI,300,0,0.00,0,0.00,25.43,300,0
LKOR,288,0,0.00,0,0.00,42.36,288,0
ADFI,281,0,0.00,210,5.55,8.47,281,0
SNPG,274,0,0.00,1,43.41,43.71,274,0
ROMO,271,0,0.00,0,0.00,31.18,271,0
QBUL,266,0,0.00,0,0.00,24.82,266,0
JANH,261,0,0.00,0,0.00,24.84,261,0
PBTP,255,0,0.00,0,0.00,25.83,255,0
UXOC,253,0,0.00,0,0.00,29.60,253,0
RSEE,252,0,0.00,0,0.00,28.83,252,0
XNOV,248,0,0.00,0,0.00,34.25,248,0
PBFR,247,0,0.00,0,0.00,26.55,247,0
ISMF,241,0,0.00,0,0.00,25.23,241,0
QCON,236,0,0.00,0,0.00,45.39,236,0
BLDG,225,0,0.00,9,23.53,23.85,225,0
NJUL,222,0,0.00,0,0.00,61.97,222,0
SEPM,222,0,0.00,0,0.00,29.91,222,0
IQM,220,0,0.00,0,0.00,61.59,220,0
MIG,219,0,0.00,0,0.00,21.29,219,0
GAUG,218,0,0.00,0,0.00,35.33,218,0
ARKZ,210,0,0.00,0,0.00,22.59,210,0
MARZ,210,0,0.00,0,0.00,30.94,210,0
PNOV,210,0,0.00,0,0.00,37.84,210,0
QPFF,209,0,0.00,0,0.00,35.81,209,0
TLTP,208,0,0.00,0,0.00,23.87,208,0
JULZ,207,0,0.00,0,0.00,40.96,207,0
NSEP,207,0,0.00,0,0.00,25.57,207,0
IYLD,205,0,0.00,0,0.00,20.27,205,0
JANJ,204,0,0.00,0,0.00,24.87,204,0
ADME,200,0,0.00,0,0.00,45.61,200,0
JULJ,200,0,0.00,0,0.00,25.20,200,0
KFEB,200,0,0.00,0,0.00,24.40,200,0
PBDE,200,0,0.00,0,0.00,26.32,200,0
PIEQ,200,0,0.00,0,0.00,27.20,200,0
NJUN,199,0,0.00,0,0.00,27.12,199,0
DMAY,196,0,0.00,0,0.00,40.57,196,0
IZRL,195,0,0.00,200,21.21,22.66,195,0
NNOV,194,0,0.00,0,0.00,25.67,194,0
