Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EWUS,193,0,0.00,0,0.00,35.64,193,0
XFEB,192,0,0.00,0,0.00,32.63,192,0
XVOL,187,0,0.00,0,0.00,20.39,187,0
PAWZ,184,0,0.00,1,51.40,52.18,84,100
TOKE,182,22,5.25,0,0.00,4.51,182,0
MSFY,178,0,0.00,0,0.00,23.20,178,0
FEBU,176,0,0.00,0,0.00,24.43,176,0
IVVW,173,80,47.28,0,0.00,47.27,173,0
QTJL,171,0,0.00,0,0.00,32.20,171,0
VFQY,169,0,0.00,0,0.00,136.94,169,0
FRNW,164,0,0.00,0,0.00,13.49,164,0
NULC,160,0,0.00,0,0.00,45.15,160,0
DOGG,153,0,0.00,25,20.25,20.47,153,0
ARLU,151,0,0.00,0,0.00,26.63,151,0
BWTG,150,0,0.00,0,0.00,37.00,150,0
BSEP,147,0,0.00,0,0.00,42.69,147,0
GSEP,147,0,0.00,0,0.00,35.04,147,0
AAPW,143,0,0.00,0,0.00,44.12,143,0
BAMA,140,0,0.00,0,0.00,30.38,140,0
BAMG,138,0,0.00,0,0.00,33.22,102,36
GTIP,138,0,0.00,0,0.00,49.57,138,0
IDVZ,137,0,0.00,0,0.00,27.71,137,0
ZAUG,134,0,0.00,0,0.00,24.90,134,0
MSMR,131,0,0.00,0,0.00,29.93,131,0
TLTI,131,0,0.00,5,47.60,47.67,131,0
CPSL,128,0,0.00,0,0.00,25.64,128,0
UJUL,123,0,0.00,0,0.00,34.20,123,0
QCJL,121,0,0.00,0,0.00,20.86,121,0
MOTG,119,0,0.00,0,0.00,39.75,119,0
YDEC,118,0,0.00,0,0.00,24.09,118,0
HAUS,117,0,0.00,0,0.00,19.31,117,0
QMMY,115,0,0.00,0,0.00,21.50,115,0
MBNE,114,0,0.00,0,0.00,29.45,114,0
TMH,114,0,0.00,0,0.00,53.32,114,0
AFIF,113,0,0.00,0,0.00,9.23,113,0
ONEZ,110,0,0.00,0,0.00,24.06,110,0
FYEE,109,0,0.00,0,0.00,25.80,109,0
EUDV,104,0,0.00,0,0.00,50.01,104,0
ASMH,102,0,0.00,0,0.00,52.60,102,0
IWMW,102,328,46.50,0,0.00,41.74,102,0
AJAN,100,0,0.00,0,0.00,26.45,100,0
APRJ,100,0,0.00,0,0.00,24.84,100,0
BAMU,100,0,0.00,0,0.00,25.28,100,0
BPH,100,0,0.00,0,0.00,54.81,100,0
FLQS,100,0,0.00,0,0.00,39.97,100,0
GDMA,100,0,0.00,0,0.00,32.32,100,0
KJUL,100,0,0.00,0,0.00,28.61,100,0
LOCT,100,0,0.00,0,0.00,23.84,100,0
MARU,100,0,0.00,0,0.00,24.46,100,0
MBND,100,0,0.00,0,0.00,27.31,100,0
MILK,100,0,0.00,0,0.00,24.68,100,0
OCTU,100,0,0.00,0,0.00,25.05,100,0
PIPE,100,0,0.00,0,0.00,25.72,100,0
SAPH,100,0,0.00,0,0.00,54.50,100,0
TGLR,100,0,0.00,0,0.00,29.55,100,0
TMDV,100,0,0.00,0,0.00,47.17,100,0
USEP,100,0,0.00,0,0.00,35.06,100,0
XDSQ,100,0,0.00,0,0.00,35.78,100,0
XTOC,100,0,0.00,0,0.00,29.31,100,0
ZNOV,100,0,0.00,0,0.00,25.20,100,0
BLKC,99,0,0.00,0,0.00,20.59,99,0
PSMJ,81,0,0.00,0,0.00,28.36,81,0
QIG,80,0,0.00,0,0.00,44.38,80,0
SEPU,78,0,0.00,0,0.00,25.42,78,0
FEBP,77,0,0.00,0,0.00,28.04,77,0
NFEB,77,0,0.00,0,0.00,24.36,77,0
EVUS,73,0,0.00,0,0.00,29.33,73,0
MAYU,71,0,0.00,0,0.00,27.82,71,0
OCTQ,70,0,0.00,0,0.00,24.17,70,0
SPIN,69,0,0.00,0,0.00,30.03,69,0
OCTJ,64,0,0.00,0,0.00,24.22,64,0
TMFX,63,0,0.00,0,0.00,19.08,63,0
HIYS,60,0,0.00,0,0.00,25.34,60,0
NOVZ,60,0,0.00,0,0.00,39.70,60,0
MAXJ,57,0,0.00,50,24.00,26.13,57,0
TBJL,54,0,0.00,0,0.00,20.09,54,0
BOXA,53,0,0.00,0,0.00,101.97,53,0
NDEC,50,0,0.00,0,0.00,24.22,50,0
VWID,50,0,0.00,0,0.00,29.98,50,0
WLDR,50,0,0.00,0,0.00,30.00,50,0
BJUN,48,0,0.00,0,0.00,41.35,48,0
FDCE,48,0,0.00,0,0.00,12.32,48,0
BBLB,47,0,0.00,0,0.00,85.16,47,0
GOOP,39,1,28.68,100,24.05,25.88,39,0
BCHP,38,0,0.00,0,0.00,33.58,38,0
ARKD,34,0,0.00,100,29.30,40.14,34,0
OCTH,33,0,0.00,0,0.00,24.24,33,0
JULQ,28,0,0.00,0,0.00,25.13,28,0
BOCT,24,0,0.00,0,0.00,42.95,24,0
BMAY,23,0,0.00,0,0.00,40.52,23,0
ARKC,21,0,0.00,0,0.00,33.89,21,0
BEGS,19,0,0.00,0,0.00,22.27,19,0
ESG,19,2,138.51,0,0.00,137.50,19,0
LEAD,18,0,0.00,0,0.00,65.60,18,0
WUGI,18,0,0.00,0,0.00,70.91,18,0
AJUL,15,0,0.00,0,0.00,26.96,15,0
BBEM,15,0,0.00,0,0.00,53.87,15,0
EAOK,15,0,0.00,0,0.00,25.90,15,0
PUTD,15,0,0.00,0,0.00,20.35,15,0
SNAV,15,0,0.00,0,0.00,29.96,15,0
TILT,14,0,0.00,1,177.54,211.29,14,0
DFND,13,0,0.00,1,41.15,41.55,13,0
GEMD,13,0,0.00,0,0.00,40.56,13,0
APRP,12,0,0.00,0,0.00,27.46,12,0
ARMU,10,277,25.85,277,25.07,25.15,10,0
IPDP,10,1,23.00,0,0.00,19.57,10,0
WBAT,10,0,0.00,0,0.00,27.85,10,0
XTJA,10,0,0.00,0,0.00,27.54,10,0
ETQ,9,200,17.93,300,17.30,17.58,9,0
GSID,9,0,0.00,0,0.00,59.77,9,0
MDEV,9,0,0.00,0,0.00,20.48,9,0
OVLH,9,0,0.00,0,0.00,33.71,9,0
BBSB,8,0,0.00,0,0.00,98.72,8,0
IPPP,8,0,0.00,0,0.00,10.06,8,0
MRCP,8,0,0.00,0,0.00,28.45,8,0
MGRO,7,0,0.00,0,0.00,29.18,7,0
CORX,6,0,0.00,0,0.00,15.97,6,0
EGUS,6,0,0.00,0,0.00,41.83,6,0
ARKA,5,0,0.00,0,0.00,56.72,5,0
KJUN,5,0,0.00,0,0.00,26.05,5,0
BUSA,3,0,0.00,0,0.00,33.05,3,0
CAOS,3,0,0.00,0,0.00,88.10,3,0
HEAT,3,0,0.00,0,0.00,25.79,3,0
MVAL,3,0,0.00,0,0.00,31.92,3,0
SNPD,3,0,0.00,0,0.00,26.00,3,0
BBIB,2,0,0.00,0,0.00,98.01,2,0
DECZ,2,0,0.00,0,0.00,36.46,2,0
ESGG,2,0,0.00,0,0.00,174.43,2,0
FBUF,2,0,0.00,0,0.00,27.04,2,0
GBXA,2,0,0.00,0,0.00,24.55,2,0
JANU,2,0,0.00,0,0.00,24.70,2,0
MINN,2,0,0.00,0,0.00,21.96,2,0
ABHY,1,0,0.00,0,0.00,19.15,1,0
DWAT,1,0,0.00,0,0.00,11.99,1,0
DWCR,1,0,0.00,0,0.00,30.52,1,0
FDHT,1,0,0.00,0,0.00,21.11,1,0
LFDR,1,0,0.00,0,0.00,180.35,1,0
OCTD,1,0,0.00,0,0.00,24.14,1,0
RYSE,1,0,0.00,0,0.00,23.85,1,0
SMI,1,0,0.00,0,0.00,45.47,1,0
UXJA,1,0,0.00,0,0.00,28.54,1,0
WHTX,1,0,0.00,0,0.00,13.90,1,0
ZSEP,1,0,0.00,0,0.00,25.16,1,0
ABLG,0,0,0.00,0,0.00,0.00,0,0
ABLS,0,0,0.00,0,0.00,0.00,0,0
ABOT,0,0,0.00,0,0.00,0.00,0,0
ACSI,0,0,0.00,0,0.00,0.00,0,0
APOC,0,0,0.00,0,0.00,0.00,0,0
APRD,0,0,0.00,0,0.00,0.00,0,0
APRH,0,0,0.00,0,0.00,0.00,0,0
APRQ,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
AQLT,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ARMH,0,0,0.00,0,0.00,0.00,0,0
AUGM,0,0,0.00,0,0.00,0.00,0,0
AUGP,0,0,0.00,0,0.00,0.00,0,0
AUGU,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BAMO,0,0,0.00,0,0.00,0.00,0,0
BAMV,0,0,0.00,0,0.00,0.00,0,0
BAMY,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BUFP,0,0,0.00,0,0.00,0.00,0,0
CMCI,0,0,0.00,0,0.00,0.00,0,0
COPA,0,0,0.00,0,0.00,0.00,0,0
CVAR,0,0,0.00,0,0.00,0.00,0,0
DECM,0,0,0.00,0,0.00,0.00,0,0
DECU,0,0,0.00,0,0.00,0.00,0,0
DSCF,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,0,0.00,0,0.00,0.00,0,0
EAOR,0,0,0.00,0,0.00,0.00,0,0
EATV,0,0,0.00,0,0.00,0.00,0,0
EMDV,0,0,0.00,0,0.00,0.00,0,0
EQLT,0,0,0.00,0,0.00,0.00,0,0
FDND,0,0,0.00,0,0.00,0.00,0,0
FDTB,0,0,0.00,0,0.00,0.00,0,0
FDVL,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FFEM,0,0,0.00,0,0.00,0.00,0,0
FFLV,0,0,0.00,0,0.00,0.00,0,0
FHDG,0,0,0.00,0,0.00,0.00,0,0
FLDZ,0,0,0.00,0,0.00,0.00,0,0
FOWF,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
GBXB,0,0,0.00,0,0.00,0.00,0,0
GLBL,0,0,0.00,0,0.00,0.00,0,0
GTOS,0,0,0.00,210,22.03,0.00,0,0
GUNZ,0,0,0.00,0,0.00,0.00,0,0
HAPR,0,0,0.00,0,0.00,0.00,0,0
HBTC,0,0,0.00,0,0.00,0.00,0,0
HELX,0,0,0.00,0,0.00,0.00,0,0
HJUL,0,0,0.00,0,0.00,0.00,0,0
HOCT,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,0,0.00,0.00,0,0
IMF,0,0,0.00,0,0.00,0.00,0,0
IROC,0,0,0.00,0,0.00,0.00,0,0
JANM,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JNEU,0,0,0.00,0,0.00,0.00,0,0
JULD,0,0,0.00,0,0.00,0.00,0,0
JULH,0,0,0.00,0,0.00,0.00,0,0
JULM,0,0,0.00,0,0.00,0.00,0,0
JULP,0,0,0.00,0,0.00,0.00,0,0
JULU,0,0,0.00,0,0.00,0.00,0,0
JUNP,0,0,0.00,0,0.00,0.00,0,0
JUNZ,0,0,0.00,0,0.00,0.00,0,0
KDEC,0,0,0.00,0,0.00,0.00,0,0
KNOV,0,0,0.00,0,0.00,0.00,0,0
KNOW,0,0,0.00,0,0.00,0.00,0,0
KOCT,0,0,0.00,0,0.00,0.00,0,0
KSEP,0,0,0.00,0,0.00,0.00,0,0
LBO,0,0,0.00,0,0.00,0.00,0,0
LCF,0,0,0.00,0,0.00,0.00,0,0
LDDR,0,0,0.00,0,0.00,0.00,0,0
LDER,0,0,0.00,0,0.00,0.00,0,0
LDRR,0,0,0.00,0,0.00,0.00,0,0
LENS,0,0,0.00,0,0.00,0.00,0,0
LFAE,0,0,0.00,0,0.00,0.00,0,0
LFAF,0,0,0.00,0,0.00,0.00,0,0
LFAI,0,0,0.00,0,0.00,0.00,0,0
LFAJ,0,0,0.00,0,0.00,0.00,0,0
LFAK,0,0,0.00,0,0.00,0.00,0,0
LFAL,0,0,0.00,0,0.00,0.00,0,0
LFAN,0,0,0.00,0,0.00,0.00,0,0
LFAO,0,0,0.00,0,0.00,0.00,0,0
LFAQ,0,0,0.00,0,0.00,0.00,0,0
LFAR,0,0,0.00,0,0.00,0.00,0,0
LFAU,0,0,0.00,0,0.00,0.00,0,0
LFAV,0,0,0.00,0,0.00,0.00,0,0
LFAW,0,0,0.00,0,0.00,0.00,0,0
LFAX,0,0,0.00,0,0.00,0.00,0,0
LFAZ,0,0,0.00,0,0.00,0.00,0,0
LFBB,0,0,0.00,0,0.00,0.00,0,0
LFBD,0,0,0.00,0,0.00,0.00,0,0
LFBE,0,0,0.00,0,0.00,0.00,0,0
LIAB,0,0,0.00,0,0.00,0.00,0,0
LIAC,0,0,0.00,0,0.00,0.00,0,0
LIAE,0,0,0.00,0,0.00,0.00,0,0
LIAF,0,0,0.00,0,0.00,0.00,0,0
LIAG,0,0,0.00,0,0.00,0.00,0,0
LIAJ,0,0,0.00,0,0.00,0.00,0,0
LIAK,0,0,0.00,0,0.00,0.00,0,0
LIAM,0,0,0.00,0,0.00,0.00,0,0
LIAO,0,0,0.00,0,0.00,0.00,0,0
LIAP,0,0,0.00,0,0.00,0.00,0,0
LIAQ,0,0,0.00,0,0.00,0.00,0,0
LIAT,0,0,0.00,0,0.00,0.00,0,0
LIAU,0,0,0.00,0,0.00,0.00,0,0
LIAV,0,0,0.00,0,0.00,0.00,0,0
LIAW,0,0,0.00,0,0.00,0.00,0,0
LIAX,0,0,0.00,0,0.00,0.00,0,0
LIAY,0,0,0.00,0,0.00,0.00,0,0
LIBD,0,0,0.00,0,0.00,0.00,0,0
LJAN,0,0,0.00,0,0.00,0.00,0,0
LJUL,0,0,0.00,0,0.00,0.00,0,0
MAYP,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,0,0.00,0,0.00,0.00,0,0
MFUT,0,0,0.00,0,0.00,0.00,0,0
MOTE,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
NAUG,0,0,0.00,0,0.00,0.00,0,0
NOVM,0,0,0.00,0,0.00,0.00,0,0
NVBU,0,0,0.00,0,0.00,0.00,0,0
NXTI,0,0,0.00,0,0.00,0.00,0,0
NXTV,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTM,0,0,0.00,0,0.00,0.00,0,0
OCTP,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBAP,0,0,0.00,0,0.00,0.00,0,0
PBAU,0,0,0.00,0,0.00,0.00,0,0
PBFB,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PBJL,0,0,0.00,0,0.00,0.00,0,0
PBJN,0,0,0.00,0,0.00,0.00,0,0
PBL,0,0,0.00,0,0.00,0.00,0,0
PBMR,0,0,0.00,0,0.00,0.00,0,0
PBMY,0,0,0.00,0,0.00,0.00,0,0
PBNV,0,0,0.00,0,0.00,0.00,0,0
PBOC,0,0,0.00,0,0.00,0.00,0,0
PBSE,0,0,0.00,0,0.00,0.00,0,0
PJBF,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PMFB,0,0,0.00,0,0.00,0.00,0,0
PMJA,0,0,0.00,0,0.00,0.00,0,0
PMMR,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,100,33.15,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSH,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
PSMO,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
PWS,0,0,0.00,4,28.81,0.00,0,0
QCAP,0,0,0.00,0,0.00,0.00,0,0
QMAG,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJA,0,0,0.00,0,0.00,0.00,0,0
RMIF,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
ROIS,0,0,0.00,0,0.00,0.00,0,0
RSBY,0,0,0.00,48,16.25,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
RTRE,0,0,0.00,0,0.00,0.00,0,0
RVRB,0,0,0.00,0,0.00,0.00,0,0
SCEC,0,0,0.00,0,0.00,0.00,0,0
SCLZ,0,0,0.00,0,0.00,0.00,0,0
SEPP,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SHAG,0,0,0.00,0,0.00,0.00,0,0
SNPV,0,0,0.00,0,0.00,0.00,0,0
SPCZ,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
SQMX,0,0,0.00,0,0.00,0.00,0,0
TDEC,0,0,0.00,0,0.00,0.00,0,0
TEMX,0,0,0.00,0,0.00,0.00,0,0
TRIO,0,0,0.00,0,0.00,0.00,0,0
TRSY,0,0,0.00,210,27.10,0.00,0,0
TRTY,0,0,0.00,10,24.00,0.00,0,0
TSPX,0,0,0.00,0,0.00,0.00,0,0
TWOX,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
VMAX,0,0,0.00,0,0.00,0.00,0,0
WDNA,0,0,0.00,0,0.00,0.00,0,0
XBAP,0,0,0.00,0,0.00,0.00,0,0
XBJA,0,0,0.00,0,0.00,0.00,0,0
XDAT,0,0,0.00,0,0.00,0.00,0,0
XDOC,0,0,0.00,0,0.00,0.00,0,0
XJAN,0,0,0.00,0,0.00,0.00,0,0
XOCT,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
ZOCT,0,0,0.00,0,0.00,0.00,0,0
BRPR3.SA,0,0,0.00,0,0.00,0.00,0,0
BVMF3.SA,0,0,0.00,0,0.00,0.00,0,0
CTIP3.SA,0,0,0.00,0,0.00,0.00,0,0
FIBR3.SA,0,0,0.00,0,0.00,0.00,0,0
CSNA3.SA,0,0,0.00,0,0.00,0.00,0,0
CPFE3.SA,0,0,0.00,0,0.00,0.00,0,0
BBSE3.SA,0,0,0.00,0,0.00,0.00,0,0
ELET3.SA,0,0,0.00,0,0.00,0.00,0,0
BRAP4.SA,0,0,0.00,0,0.00,0.00,0,0
BBAS3.SA,0,0,0.00,0,0.00,0.00,0,0
ABEV3.SA,0,0,0.00,0,0.00,0.00,0,0
GGBR4.SA,0,0,0.00,0,0.00,0.00,0,0
CPLE6.SA,0,0,0.00,0,0.00,0.00,0,0
BBDC3.SA,0,0,0.00,0,0.00,0.00,0,0
CMIG4.SA,0,0,0.00,0,0.00,0.00,0,0
CSAN3.SA,0,0,0.00,0,0.00,0.00,0,0
CYRE3.SA,0,0,0.00,0,0.00,0.00,0,0
EQTL3.SA,0,0,0.00,0,0.00,0.00,0,0
EMBR3.SA,0,0,0.00,0,0.00,0.00,0,0
ECOR3.SA,0,0,0.00,0,0.00,0.00,0,0
LREN3.SA,0,0,0.00,0,0.00,0.00,0,0
AMER3.SA,0,0,0.00,0,0.00,0.00,0,0
VALE,0,0,0.00,0,0.00,0.00,0,0
BPAC11.SA,0,0,0.00,0,0.00,0.00,0,0
ITUB,0,0,0.00,0,0.00,0.00,0,0
